row_id,hts8,api_hts_number,api_rate_source,api_formula_used,status,http_status,api_message,expected_2025_base_duty,api_2026_base_duty,delta,abs_delta,pct_delta,quantity1_code,quantity2_code,mfn_text_rate,begin_effect_date,end_effective_date
5477842f-653d-480f-834d-ee42ad042d67,38109050,3810.90.50.00,general,value * 0.05,match,201,,5,5,0,0,0,KG,,5%,2020-06-30,2050-12-30
e8f90e82-17f5-42b8-8643-7130ab845ab7,38111110,3811.11.10.00,general,0,match,201,,0,0,0,0,0,KG,,Free,1994-12-31,2050-12-30
08141eb9-2711-4a0c-861d-5c57d59db59d,38111150,3811.11.50.00,general,0,match,201,,0,0,0,0,0,KG,,Free,1994-12-31,2050-12-30
fcb93c03-70d0-4c3c-92ea-3872917fe4fb,38111900,3811.19.00.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
62b4868b-4709-4ed2-b746-8f7af229799b,38112100,3811.21.00.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
07af03bb-4997-4d78-b231-e9128f948b48,38112900,3811.29.00.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
4bb8495a-fcfa-4a36-bf1e-b3431abf29bf,38119000,3811.90.00.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
376934a3-33fa-4abb-9a53-d47fdd539989,38121010,3812.10.10.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
92d19668-7cb5-4b47-a3d0-f0c9d55ff08a,38121050,3812.10.50.00,general,value * 0.05,match,201,,5,5,0,0,0,KG,,5%,2020-06-30,2050-12-30
04632848-b2df-4c70-a6b0-0835664e8a1b,38122010,3812.20.10.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
d7acfa34-7529-47ea-a653-02ae381c2e37,38122050,3812.20.50.00,general,value * 0.05,match,201,,5,5,0,0,0,KG,,5%,2020-06-30,2050-12-30
893ff81a-e5c1-4c86-a1ca-0a7d501407d3,38123100,3812.31.00.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
c51d995b-15ea-44cd-b734-b9221fd81b98,38123920,3812.39.20.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
c27bd718-5b2d-408d-a27f-789d92b73ba6,38123930,3812.39.30.00,general,0,match,201,,0,0,0,0,0,KG,,Free,2016-12-31,2050-12-30
ce5b2beb-837b-422f-9cd1-cc6d3a5db004,38123960,3812.39.60.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
1cb0b533-df75-4487-89a4-0564d6a78e3f,38123970,3812.39.70.00,general,0,match,201,,0,0,0,0,0,KG,,Free,2016-12-31,2050-12-30
5d10ba2e-339d-4d38-a1ab-08dea0ad2600,38123990,3812.39.90.00,general,value * 0.05,match,201,,5,5,0,0,0,KG,,5%,2020-06-30,2050-12-30
5d255ee3-b1ad-46df-806d-548e58fb1dd5,38130010,3813.00.10.00,general,0,match,201,,0,0,0,0,0,KG,,Free,1988-12-31,2050-12-30
b9a96b49-55d1-48b1-a07a-80121c87f03e,38130050,3813.00.50.00,general,value * 0.037000000000000005,match,201,,3.7,3.7,0,0,0,KG,,3.7%,2020-12-29,2050-12-30
5ebd2be6-e833-4116-bfc6-ceee91b9fbf8,38140010,3814.00.10.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
a71d2600-134e-4ddf-a2c4-505d65736283,38140020,3814.00.20.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
1444b992-1ebe-4b43-b707-466296d8c4f2,38140050,3814.00.50,general,value * 0.06,match,201,,6,6,0,0,0,KG,,6%,2020-06-30,2050-12-30
870c241c-6604-4f24-8526-3901ea7d630d,38151100,3815.11.00.00,general,0,match,201,,0,0,0,0,0,KG,,Free,1988-12-31,2050-12-30
cbbcd873-b101-46ac-8577-aeba9fe25afa,38151200,3815.12.00,general,0,match,201,,0,0,0,0,0,KG,,Free,1988-12-31,2050-12-30
f20ed3da-bca1-49ed-8fe0-8a6ddcf7bf3b,38151900,3815.19.00.00,general,0,match,201,,0,0,0,0,0,KG,,Free,1988-12-31,2050-12-30
00f65426-a7cd-4ba4-a4e7-4c32342306c9,38159010,3815.90.10.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
3183d267-fb1b-4351-9e97-6183e53c116c,38159020,3815.90.20.00,general,value * 0.027999999999999997,match,201,,2.8,2.8,0,0,0,KG,,2.8%,2020-06-30,2050-12-30
8c7aec1a-6fd3-4c4b-bcfc-0afa5ac725e3,38159030,3815.90.30.00,general,0,match,201,,0,0,0,0,0,KG,,Free,1988-12-31,2050-12-30
813fbbaf-4404-469d-9ba9-78103448c883,38159050,3815.90.50.00,general,value * 0.05,match,201,,5,5,0,0,0,KG,,5%,2020-06-30,2050-12-30
b1eb00f3-a581-4e52-b340-3f1c28ffb4cd,38160010,3816.00.10.00,general,0,match,201,,0,0,0,0,0,T,,Free,2022-01-26,2050-12-30
12beb1ec-8cfc-4ed4-9cad-0af82efda92c,38160020,3816.00.20,general,value * 0.03,match,201,,3,3,0,0,0,KG,,3%,2022-01-26,2050-12-30
8304eab1-e373-4b3b-a22d-5ba86708fe47,38170010,3817.00.10.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
f886512f-658e-4792-8e55-b0ab9c21a614,38170015,3817.00.15.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
fab94b81-2d73-4fb3-bd26-1d1bc4a9b95e,38170020,3817.00.20.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
8161fa9a-74ca-4136-9d5e-4656290175ee,38180000,3818.00.00,general,0,match,201,,0,0,0,0,0,KG,,Free,1990-12-31,2050-12-30
d11843bf-73f5-49b0-8e36-19efa4b26555,38190000,3819.00.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
0416778c-58c2-4bc3-9e71-4858fc4b9c65,38200000,3820.00.00.00,general,value * 0.065,match,201,,6.5,6.5,0,0,0,KG,,6.5%,2020-06-30,2050-12-30
40116b14-cbab-4e88-a4bf-c38d285c3cc1,38210000,3821.00.00,general,value * 0.05,match,201,,5,5,0,0,0,KG,,5%,2020-06-30,2050-12-30
