"hts_code","custom_description"
"2516201000","Genuine Crushed Stone inlays COARSE SIZES ONLY - Abalone Extra large"
"2516201000","Genuine Crushed Stone inlays COARSE SIZES ONLY - Amethyst"
"2516201000","Genuine Crushed Stone inlays COARSE SIZES ONLY - Aquamarine"
"2516201000","Genuine Crushed Stone inlays COARSE SIZES ONLY - Blue Turquoise"
"2516201000","Genuine Crushed Stone inlays COARSE SIZES ONLY - Zircon Blue"
"2516201000","Genuine Crushed Stone inlays LARGE SAND ONLY - African Rainbow"
"2516201000","Genuine Crushed Stone inlays LARGE SAND ONLY - Black Tourmaline"
"2516201000","Genuine Crushed Stone inlays LARGE SAND ONLY - Blue goldstone"
"2516201000","Genuine Crushed Stone inlays LARGE SAND ONLY - Blue Turquoise"
"2516201000","Genuine Crushed Stone inlays LARGE SAND ONLY - Citrine"
"2516201000","Genuine Crushed Stone inlays LARGE SAND ONLY - Color enhanced natural turquoise"
"2516201000","Genuine Crushed Stone inlays LARGE SAND ONLY - Pink Moonstone"
"2516201000","Genuine Crushed Stone inlays LARGE SAND ONLY - Red Opal"
"2516201000","Genuine Crushed Stone inlays LARGE SAND ONLY - Tanzanite"
"2516201000","Genuine Crushed Stone inlays ---SMALL SAND"
"2516201000","Genuine Crushed Stone inlays ---SMALL SAND and powder type ONLY - Abalone / Small Sand"
"2516201000","Genuine Crushed Stone inlays ---SMALL SAND and powder type ONLY - Blue Turquoise / Small Sand"
"2516201000","Genuine Crushed Stone inlays ---SMALL SAND and powder type ONLY - Color enhanced natural turquoise / Small Sand"
"2516201000","Genuine Crushed Stone inlays ---SMALL SAND and powder type ONLY - Garnet / Small Sand"
"2516201000","Genuine Crushed Stone inlays ---SMALL SAND and powder type ONLY - Green Mica / Small Sand"
"2516201000","Genuine Crushed Stone inlays ---SMALL SAND and powder type ONLY - Peridot / Small Sand"
"2516201000","Genuine Crushed Stone inlays ---SMALL SAND and powder type ONLY - Quartz crystal / Small Sand"
"2516201000","Genuine Crushed Stone inlays ---SMALL SAND and powder type ONLY - Tanzanite / Small Sand"
"2516201000","Genuine Crushed Stone inlays ---SMALL SAND and powder type ONLY - White Agate / Small Sand"
"2516201000","Natural Diamond inlay dust - Black .2mm-.4mm Coarse size"
"2516201000","Natural Diamond inlay dust - White"
"2516201000","Natural Diamond inlay dust - White .10mm-.15 mm Fine"
"2516201000","Natural Diamond inlay dust - White .150mm-.180mm Fine"
"2516201000","Natural Diamond inlay dust - White .6mm-.8mm Coarse size"
"2516.20.10.00","ASSORTED ROUGH ROCKS"
"2516.90.00.60","GARDEN QUARTZ TOWER DECORATION"
"2517.10.00.15","natural beach pebbles for landscaping decoration, smooth finish, non-toxic"
"2517.49.00.00","natural beach pebble for landscaping use, washed and unpolished"
"2517.49.00.00","natural beach pebbles, for decorative landscaping or construction use, excluding any treated or processed stones"
"2517.49.00.00","natural beach pebbles suitable for landscaping or decoration, unprocessed"
"2525200000","Photochromic pigment - Dark Purple"
"2525200000","Photochromic pigment - Green"
"2525200000","Photochromic pigment - Khaki"
"2525200000","Pigments for ring inlays and casting - Pack 769"
"2525200000","Pigments for ring inlays and casting - Super Pack 725"
"2525200000","Pigments for ring inlays and casting - Super Pack 734"
"2529.22.00.00","natural raw fluorite"
"2530.90.10.00","Decorative Crystals"
"2530908015","mixed mineral crystals and rocks for decorative use"
"2530908050","Crushed Allosaurus dinosaur bone - Coarse"
"2530908050","Crushed Chrysler (Fordite) - Crushed Chrysler (Fordite)"
"2530908050","Crushed Icelandic lava - Crushed lava"
"2530908050","Crushed Sauropod dinosaur bone - White"
"2530908050","Fossilized prehistoric crushed Mammoth - Green <b>tooth</b>"
"2530908050","Fossilized Whale Vertebrae - White"
"2530908050","KT Boundary soil , Dinosaur Extinction Layer"
"2530908050","Limited quantities stones - Apatite"
"2530908050","Limited quantities stones - Blue Lace"
"2530908050","Limited quantities stones - Crushed Yooperlite"
"2530908050","Limited quantities stones - Lapis Afghanistan High <b>grade</b> - Large"
"2530908050","Limited quantities stones - Realgar orpiment - Coarse"
"2530908050","Limited quantities stones - Ruby Tanzania"
"2530908050","Megalodon <b>Tooth</b> inlay material - Mixed size (Fine and large chunks)"
"2530908050","T Rex Dinosaur inlay material - DARK - FINE"
